input,target
67. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"68. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
69. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
70. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
71. Мой любимый сезон - осень,Мой любимый сезон - осень
72. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"73. У меня есть младший брат, ему 9 лет","У меня есть младший брат, ему 9 лет"
74. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"75. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"76. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
77. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
78. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"79. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
80. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"81. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
82. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
83. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"84. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
85. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
86. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
87. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
88. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"89. У меня есть младший брат, ему 10 лет","У меня есть младший брат, ему 10 лет"
90. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"91. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"92. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
93. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
94. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
95. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
96. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"97. У меня есть младшая сестра, ей 7 лет","У меня есть младшая сестра, ей 7 лет"
98. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
99. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"100. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
101. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
102. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"103. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
104. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"105. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
106. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
107. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"108. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
109. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
110. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
111. Мой любимый сезон - осень,Мой любимый сезон - осень
112. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"113. У меня есть младший брат, ему 11 лет","У меня есть младший брат, ему 11 лет"
114. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"115. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"116. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
117. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
118. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"119. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
120. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"121. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
122. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
123. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"124. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
125. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
126. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
127. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
128. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"129. У меня есть младший брат, ему 12 лет","У меня есть младший брат, ему 12 лет"
130. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"131. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"132. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
133. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
134. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
135. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
136. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"137. У меня есть младшая сестра, ей 9 лет","У меня есть младшая сестра, ей 9 лет"
138. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
139. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"140. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
141. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
142. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"143. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
144. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"145. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
146. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
147. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"148. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
149. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
150. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
151. Мой любимый сезон - осень,Мой любимый сезон - осень
152. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"153. У меня есть младший брат, ему 13 лет","У меня есть младший брат, ему 13 лет"
154. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"155. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"156. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
157. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
158. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"159. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
160. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"161. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
162. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
163. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"164. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
165. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
166. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
167. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
168. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"169. У меня есть младший брат, ему 14 лет","У меня есть младший брат, ему 14 лет"
170. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"171. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"172. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
173. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
174. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
175. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
176. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"177. У меня есть младшая сестра, ей 11 лет","У меня есть младшая сестра, ей 11 лет"
178. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
179. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"180. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, especialmente из курицы"
181. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
182. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"183. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
184. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"185. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
186. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
187. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"188. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
189. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
190. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
191. Мой любимый сезон - осень,Мой любимый сезон - осень
192. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"193. У меня есть младший брат, ему 15 лет","У меня есть младший брат, ему 15 лет"
194. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"195. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"196. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
197. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
198. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"199. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
200. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"201. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
202. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
203. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"204. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
205. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
206. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
207. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
208. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"209. У меня есть младший брат, ему 16 лет","У меня есть младший брат, ему 16 лет"
210. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"211. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"212. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
213. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
214. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
215. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
216. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"217. У меня есть младшая сестра, ей 13 лет","У меня есть младшая сестра, ей 13 лет"
218. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
219. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"220. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
221. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
222. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"223. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
224. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"225. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
226. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
227. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"228. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
229. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
230. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
231. Мой любимый сезон - осень,Мой любимый сезон - осень
232. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"233. У меня есть младший брат, ему 17 лет","У меня есть младший брат, ему 17 лет"
234. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"235. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"236. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
237. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
238. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"239. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
240. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"241. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
242. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
243. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"244. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
245. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
246. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
247. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
248. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"249. У меня есть младший брат, ему 18 лет","У меня есть младший брат, ему 18 лет"
250. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"251. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"252. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
253. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
254. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
255. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
256. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"257. У меня есть младшая сестра, ей 15 лет","У меня есть младшая сестра, ей 15 лет"
258. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
259. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"260. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
261. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
262. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"263. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
264. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"265. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
266. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
267. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"268. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
269. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
270. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
271. Мой любимый сезон - осень,Мой любимый сезон - осень
272. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"273. У меня есть младший брат, ему 19 лет","У меня есть младший брат, ему 19 лет"
274. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"275. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"276. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
277. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
278. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"279. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
280. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"281. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
282. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
283. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"284. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
285. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
286. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
287. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
288. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"289. У меня есть младший брат, ему 20 лет","У меня есть младший брат, ему 20 лет"
290. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"291. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"292. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
293. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
294. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
295. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
296. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"297. У меня есть младшая сестра, ей 17 лет","У меня есть младшая сестра, ей 17 лет"
298. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
299. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"300. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
301. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
302. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"303. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
304. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"305. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
306. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
307. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"308. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
309. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
310. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
311. Мой любимый сезон - осень,Мой любимый сезон - осень
312. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"313. У меня есть младший брат, ему 21 лет","У меня есть младший брат, ему 21 лет"
314. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"315. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"316. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
317. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
318. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"319. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
320. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"321. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
322. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
323. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"324. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
325. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
326. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
327. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
328. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"329. У меня есть младший брат, ему 22 лет","У меня есть младший брат, ему 22 лет"
330. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"331. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"332. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
333. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
334. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
335. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
336. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"337. У меня есть младшая сестра, ей 19 лет","У меня есть младшая сестра, ей 19 лет"
338. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
339. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"340. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
341. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
342. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"343. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
344. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"345. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
346. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
347. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"348. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
349. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
350. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
351. Мой любимый сезон - осень,Мой любимый сезон - осень
352. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"353. У меня есть младший брат, ему 23 лет","У меня есть младший брат, ему 23 лет"
354. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"355. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"356. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
357. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
358. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"359. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
360. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"361. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
362. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
363. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"364. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
